,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
52-5-3,52,5,3,"With population in 2010 of just over 900,000, slightly more than Gran Canaria, what is the most populous of the Canary Islands?",TENERIFE,GEOGRAPHY,67,42,23,15,12,21,29,3.1,2.1
52-5-4,52,5,4,"Among the world's top fashion schools are London's Central Saint Martins, the Royal Academy of Fine Arts in Antwerp, and a division of New York's The New School which is known most commonly as what?",PARSONS,LIFESTYLE,52,41,36,38,26,32,38,3.1,1.7
52-5-5,52,5,5,"This man, who won the Pulitzer Prize in 1964 at age 30 for his reporting of the Vietnam War, was well known for writing on multiple topics, including foreign relations, civil rights, and sports -- the latter of which includes the books The Breaks of the Game and Summer of '49.",DAVID HALBERSTAM,LITERATURE,49,46,32,20,15,27,32,3.1,1.8
52-5-6,52,5,6,"A unit of measurement of a magnetic field, a technique for blurring a graphical image, a law for gravity similar to Newton's law of universal gravitation, and a mathematical constant defined as the reciprocal of the arithmetic-geometric mean of 1 and the square root of 2 -- all of these are named after what German mathematician and scientist?",CARL FRIEDRICH GAUSS,SCIENCE,75,49,43,38,27,48,47,3.1,1.6
52-6-1,52,6,1,"What was the name of the plaintiff in the 1857 U.S. Supreme Court decision which ruled that slaves could not be U.S. citizens, and that Congress had no jurisdiction over slavery in U.S. territories?",DRED SCOTT,AMER HIST,89,85,75,60,39,66,70,3.6,1.0
52-6-2,52,6,2,"One of Giacomo Puccini's most famous works, this opera, which was unfinished at his death and completed by Franco Alfano, is centered around a Rumpelstiltskin/Lohengrin-esque name mystery.",TURANDOT,CLASS MUSIC,52,26,18,11,7,18,22,3.6,2.3
52-6-3,52,6,3,"Name the man who won the 54th running of the Daytona 500 auto race, which took place on February 27, 2012.",MATT KENSETH,GAMES/SPORT,44,46,27,21,19,30,32,3.6,1.5
52-6-4,52,6,4,"On the night of February 3 ,1959, an airplane carrying Buddy Holly, Ritchie Valens and, J.P. Richardson crashed outside of Mason City, Iowa, killing all passengers; name the future country music superstar who had given his seat to Richardson, who had a cold and desperately needed rest.",WAYLON JENNINGS,POP MUSIC,63,45,34,22,15,29,35,3.6,1.6
52-6-5,52,6,5,Give the first name of either of Jerry's parents on the sitcom Seinfeld,"MORTY, HELEN",TELEVISION,66,60,51,37,39,47,50,3.6,1.1
52-6-6,52,6,6,"This organism, found in nearly all geographic climates on earth, is a composite plant made up of algae living in the threads of a fungus, the algae and fungus coexisting symbiotically.",LICHEN,SCIENCE,75,55,48,39,24,45,48,3.6,1.6
52-7-1,52,7,1,"What city, about 100 miles north of Damascus and the country's third-largest, has been under partial siege by the Syrian Army since May of 2011, and has been informally dubbed the capital of the Syrian Uprising?",HOMS,CURR EVENTS,73,73,55,48,43,60,59,5.2,1.2
52-7-2,52,7,2,"Though founded by an American and an Australian, the major international airline Cathay Pacific is headquartered in what city, with that city's primary airport serving as the airline's main hub?",HONG KONG,BUS/ECON,77,56,37,28,29,40,44,5.2,1.8
52-7-3,52,7,3,"Consisting of the Heer (army), Kriegsmarine (navy) and Luftwaffe (air force), what was the term used for the unified armed forces of Nazi Germany?",WEHRMACHT,WORLD HIST,66,51,28,19,13,27,34,5.2,2.0
52-7-4,52,7,4,"White rum, sugar, lime juice, sparkling water and mint: these are the five traditional and standard ingredients of what popular cocktail?",MOJITO,FOOD/DRINK,84,88,78,83,77,75,81,5.2,0.7
52-7-5,52,7,5,There are two letters missing from this graphic. What are they? Click here,BE,SCIENCE,83,61,57,41,30,56,55,5.2,1.6
52-7-6,52,7,6,"Arma virumque cano, Troiae qui primus ab oris. This is the introduction to the epic tale of what Trojan warrior?",AENEAS,LITERATURE,65,46,42,19,11,34,36,5.2,1.7
52-8-1,52,8,1,This image is a montage of works from citizens of what country? Click here,NETHERLANDS,ART,94,99,86,83,57,84,85,3.0,1.1
52-8-2,52,8,2,"Of Canada's ten provinces, which one is, by far, largest in land area (and about 240 times larger than the smallest, Prince Edward Island)?",QUEBEC,GEOGRAPHY,56,43,26,18,13,31,31,3.0,1.3
52-8-3,52,8,3,"This is a term in French cuisine for a particular dish consisting of coarsely chopped meat and/or vegetables  -- a sort of jellied meatloaf, similar to pate. The same term is used for the cooking vessel in which the meatloaf is prepared.",TERRINE,FOOD/DRINK,36,41,30,35,18,25,32,3.0,1.8
52-8-4,52,8,4,The military personification of the confederacy during the U.S. Civil War was known as Johnny Reb; who was Johnny Reb's northern counterpart?,BILLY YANK,AMER HIST,44,35,22,13,5,20,24,3.0,1.7
52-8-5,52,8,5,"An Englishman named David Ogilvy, who died in 1999 at age 78, is widely considered a pioneer and vanguard in the evolution of what industry?",ADVERTISING,BUS/ECON,55,46,36,30,22,42,40,3.0,2.0
52-8-6,52,8,6,"Decompression sickness, known as the bends and suffered commonly by deep-sea divers and aviators, is caused when a gas comes out of solution and forms bubbles in body fluid and blood during a quick ascent. Most commonly, this gas is what element?",NITROGEN,SCIENCE,91,88,82,75,61,77,79,3.0,1.0
52-9-1,52,9,1,"The planet Uranus has 27 moons, and each one is named after a character from the works of one of two authors. Name either of the authors.","WILLIAM SHAKESPEARE, ALEXANDER POPE",SCIENCE,94,71,62,33,36,64,59,3.6,1.1
52-9-2,52,9,2,"The 2001 novel A Painted House, about a rural Southern family of cotton farmers, was what author's first bestseller outside the legal thriller genre?",JOHN GRISHAM,LITERATURE,94,91,94,80,84,88,89,3.6,0.7
52-9-3,52,9,3,"Saxophonist Wayne Shorter, pianist Herbie Hancock, guitarist George Benson, bassist Ron Carter, and drummer Tony Williams -- all jazz giants in their own rights -- were members in the 1960s of what trumpeter's band?",MILES DAVIS,POP MUSIC,71,58,43,47,29,48,49,3.6,1.5
52-9-4,52,9,4,"This meat substitute product, which is purportedly named after an English village though it (perhaps not coincidentally) sounds like a common vegetable, is actually produced using fungal protein mixed with egg albumen. It is popular in Britain and other parts of Europe, less so in the U.S. since its introduction in 2002.",QUORN,FOOD/DRINK,38,29,21,18,7,18,22,3.6,2.0
52-9-5,52,9,5,"The Battle of Stoke Field, which took place on June 16 ,1487, is widely believed to have marked the final days of what?",WARS OF THE ROSES,WORLD HIST,58,44,30,18,16,37,34,3.6,2.0
52-9-6,52,9,6,"This Graham Greene story, about racketeering, murder, and mystery in post World War II Vienna, became a 1949 motion picture starring Orson Welles and Joseph Cotten.",THE THIRD MAN,FILM,78,57,43,25,16,43,44,3.6,1.7
52-10-1,52,10,1,Correctly spell the branch of medicine which deals with diseases of the eye and their treatment.,OPHTHALMOLOGY,SCIENCE,51,42,28,26,18,33,33,3.2,1.3
52-10-2,52,10,2,"This former third baseman and member of the Major League Baseball Hall of Fame hit 548 home runs in his career, most ever hit by a player who spent his entire career with just one team.",MIKE SCHMIDT,GAMES/SPORT,57,49,36,29,25,31,38,3.2,1.9
52-10-3,52,10,3,"While there are today dozens of theatre festivals across the globe which are dubbed fringe festivals, the original and still largest fringe festival in the world takes place in what European city?",EDINBURGH,THEATRE,67,47,41,40,20,34,42,3.2,1.9
52-10-4,52,10,4,"The Rwandan Genocide, which took place in 1994, was planned and led by an extremist organization known as the Akazu, who were members of what majority ethnic group?",HUTU,WORLD HIST,80,78,67,54,38,65,64,3.2,1.7
52-10-5,52,10,5,"A drama series which debuted on the Fox Television Network in April of 1987 and revolved around a group of police officers, who worked undercover investigating crimes in high schools and colleges, had what as its title (named after the address of the officers' headquarters)?",21 JUMP STREET,TELEVISION,94,91,89,87,83,87,88,3.2,0.8
52-10-6,52,10,6,This photograph was taken in which U.S. state? Click here,NEW HAMPSHIRE,GEOGRAPHY,70,50,45,35,25,43,45,3.2,1.4
52-11-1,52,11,1,"The scientific order lepidoptera contains an exceedingly large number of insect species, all members of which are commonly known by one of two names. Give either one.","BUTTERFLIES, MOTHS",SCIENCE,96,83,66,53,42,61,66,3.8,1.2
52-11-2,52,11,2,"What is the formal name of the title held by the UK Cabinet Minister (currently, George Osborne) whose post is the rough equivalent of Germany's Federal Minister of Finance, and the U.S.'s Secretary of the Treasury?",CHANCELLOR OF THE EXCHEQUER,BUS/ECON,78,63,45,36,15,45,47,3.8,1.8
52-11-3,52,11,3,This (slightly edited) image shows the control pad for the first version of what video game console? Click here,SONY PLAYSTATION,GAMES/SPORT,74,72,73,73,73,80,75,3.8,0.6
52-11-4,52,11,4,Identify the diplomat who was named Time magazine's Man of the Year in 1978 and in 1985 -- the only Chinese national to receive the designation on two separate occasions.,DENG XIAOPING,WORLD HIST,64,54,31,18,16,35,37,3.8,2.1
52-11-5,52,11,5,Dante's Divine Comedy is an epic poem divided into three canticas. The first is Inferno; what are the other two?,"PURGATORIO, PARADISO",LITERATURE,74,71,63,35,22,50,54,3.8,1.7
52-11-6,52,11,6,"What is the title of the classic German horror film from 1922 which is subtitled eine Symphonie des Grauens (A Symphony of Horror), and stars Max Schreck as the Transylvanian Count Orlok?",NOSFERATU,FILM,91,69,63,46,31,62,61,3.8,1.6
52-12-1,52,12,1,"In a complete list of names that includes Harold Ross, William Shawn, Robert Gottlieb, and David Remnick, whose name is missing?",TINA BROWN,LIFESTYLE,44,28,22,9,3,17,21,5.0,2.1
52-12-2,52,12,2,"After the retirement of the Model T, this more powerful and luxurious Ford automobile began production in 1928, and continued until there were five million of them on the road by 1931.",MODEL A,AMER HIST,78,74,64,50,33,66,62,5.0,1.3
52-12-3,52,12,3,"Ado Annie, Laurey Williams, Jud Fry, and Will Parker are among the characters from what groundbreaking Broadway musical?",OKLAHOMA!,THEATRE,68,58,51,39,29,50,50,5.0,1.3
52-12-4,52,12,4,Give the scientific names of two of the three diseases protected against by the DTaP vaccine.,"DIPHTHERIA, TETANUS, PERTUSSIS",SCIENCE,84,66,53,42,38,49,55,5.0,1.2
52-12-5,52,12,5,"What was the term used by Parliamentarians ('Roundheads') for a Royalist supporter of King Charles I during the mid to late 17th c., and in turn for a school of poets of the era whose works were accordingly light and secular, and which included Ben Jonson, Richard Lovelace, Thomas Carew, and Robert Herrick? The term itself has evolved linguistically to mean both debonair and disdainful.",CAVALIER,LANGUAGE,58,38,30,12,13,34,31,5.0,1.8
52-12-6,52,12,6,Identify the album on which the song in this clip first appeared (58 seconds). Click here,"HISTORY (PAST, PRESENT AND FUTURE, BOOK I)",POP MUSIC,33,25,27,13,17,24,24,5.0,1.3
52-13-1,52,13,1,Identify this muppet. Click here,SCOOTER,TELEVISION,64,63,54,49,37,56,55,4.3,1.3
52-13-2,52,13,2,"The Live Aid concert, which took place on July 13, 1985, was held simultaneously in two cities -- London, and what U.S. city (with Phil Collins famously appearing at both venues)?",PHILADELPHIA,POP MUSIC,80,65,42,34,32,47,49,4.3,1.4
52-13-3,52,13,3,The area of a circle with a diameter of 6 inches exceeds the combined areas of a circle 2 inches in diameter and a circle 4 inches in diameter by how many square inches?,4 PI,MATH,65,51,58,47,35,58,53,4.3,1.2
52-13-4,52,13,4,"This term is applied generally as a classification of art which intends to represent its subject matter in objective manner, and specifically refers to an artistic movement which emerged in France in the mid-19th c., represented by the works of Gustave Courbet, Jean-Francois Millet, and Honore Daumier.",REALISM,ART,84,71,67,65,40,56,64,4.3,2.2
52-13-5,52,13,5,"The Indo-Pakistani War of 1971 lasted only 13 days, but resulted in the creation of what new independent nation?",BANGLADESH,WORLD HIST,89,81,64,52,36,68,66,4.3,1.6
52-13-6,52,13,6,The name of what corporation has been redacted from this logo? Click here,GULF,BUS/ECON,75,59,53,51,44,53,55,4.3,1.3
52-14-1,52,14,1,"One of the best known classical composers who worked with the technique of composition known as fugue is what German, whose The Well-Tempered Clavier is a collection of preludes and fugues in all 24 keys, and whose The Art of Fugue was unfinished at his death in 1750?",JOHANN SEBASTIAN BACH,CLASS MUSIC,94,80,68,55,46,72,69,3.9,1.6
52-14-2,52,14,2,"This work of art, once attributed to Praxiteles but now widely believed the work of Alexandros of Antioch, was discovered by a peasant on a small Greek isle in 1820, and now is on permanent display at the Louvre in Paris.",VENUS DE MILO,ART,69,60,53,38,25,57,51,3.9,1.9
52-14-3,52,14,3,One of the best remembered speeches in American history was an inaugural address -- famous for its indirect reference to a particular phobia -- which happens to be the last to have taken place on March 4 (due to the recent passage of the 20th Amendment). Which U.S. President gave this address?,FRANKLIN ROOSEVELT,AMER HIST,86,80,73,64,54,71,72,3.9,0.9
52-14-4,52,14,4,"In December of 2010, an arrest warrant was issued against WikiLeaks founder Julian Assange to extradite him to what country, for questioning on charges related to alleged sex offenses?",SWEDEN,CURR EVENTS,83,79,64,59,54,68,68,3.9,0.9
52-14-5,52,14,5,"At a latitude of 6 degrees south, this city was, until East Timor's independence in May of 2002, the only Asian national capital below the equator.",JAKARTA,GEOGRAPHY,79,65,51,43,36,46,53,3.9,1.7
52-14-6,52,14,6,Once upon a time and a very good time it was there was a moocow coming down along the road and this moocow that was coming down along the road met a nicens little boy named baby tuckoo... Thus begins what semi-autobiographical novel?,PORTRAIT OF THE ARTIST AS A YOUNG MAN,LITERATURE,55,36,30,18,15,23,30,3.9,2.0
52-15-1,52,15,1,The airport known during WWII as RAF Speke is today named officially after what native Liverpudlian?,JOHN LENNON,GEOGRAPHY,95,79,63,54,41,64,66,4.3,1.0
52-15-2,52,15,2,This audio clip (30 seconds) is an excerpt from the finale of a symphony which is most commonly known by what name (not number)? Click here,CHORAL SYMPHONY,CLASS MUSIC,19,12,8,6,3,7,9,4.3,1.1
52-15-3,52,15,3,"In Russia, this war is also known as the Eastern War (Vostochnaya Voina), and at the time of the conflict, in Britain it was known as the Russian War. By what name is it best known today?",CRIMEAN WAR,WORLD HIST,78,57,45,28,17,47,46,4.3,1.6
52-15-4,52,15,4,"In the sport of cricket, there are a number of ways a batsman can be dismissed. One of them is abbreviated LBW -- what do the letters in LBW stand for?",LEG BEFORE WICKET,GAMES/SPORT,35,28,14,13,6,19,20,4.3,2.4
52-15-5,52,15,5,"In medicine, the term bradycardia is used in general terms to refer to a slow resting heart rate. What is the accompanying term for an accelerated resting heart rate?",TACHYCARDIA,SCIENCE,81,64,55,47,40,61,58,4.3,1.4
52-15-6,52,15,6,"While this famous serial killer and Wisconsin native is believed to have murdered only two people (still two more than normal, it must be noted), his mother-dependence and woman-suit-making provided the inspiration for Psycho, The Silence of the Lambs, and The Texas Chainsaw Massacre.",ED GEIN,FILM,51,31,31,15,6,26,27,4.3,1.6
52-16-1,52,16,1,"What name is shared by one of the three Biblical magi, a servant of the Montague household in Romeo and Juliet, and a size of wine bottle equivalent to sixteen standard bottles?",BALTHAZAR,LITERATURE,68,56,48,31,18,43,45,4.4,1.7
52-16-2,52,16,2,"'Bewitched, Bothered and Bewildered' and 'I Could Write a Book' are standards which were written for what Rodgers and Hart Broadway musical, which starred Gene Kelly in the title role in the 1940 premiere and Harold Lang in the even more successful 1952 revival?",PAL JOEY,THEATRE,40,17,15,5,3,12,16,4.4,2.1
52-16-3,52,16,3,What has been dubbed as the most famous dream sequence in television history is the entire eighth season of what long-running television drama?,DALLAS,TELEVISION,81,74,61,46,44,61,62,4.4,1.0
52-16-4,52,16,4,Aldrich Ames and Robert Hanssen are among a relatively small number of American citizens currently serving time in federal prison for what crime?,SPYING/ESPIONAGE,AMER HIST,61,48,33,23,23,38,38,4.4,1.3
52-16-5,52,16,5,"What is the name for the linguistic device which is a word, or occasionally a grouping of words, whose sound imitates the sound the word is describing, such as bang, click, fizz, and hush?",ONOMATOPOEIA,LANGUAGE,96,95,96,90,89,94,94,4.4,0.7
52-16-6,52,16,6,This is the work of what artist? Click here,MARC CHAGALL,ART,40,44,34,26,11,30,33,4.4,2.3
52-17-1,52,17,1,Former U.S. Senator and New Jersey Governor Jon Corzine was Chairman and CEO of what international financial derivatives broker at the time of its bankruptcy filing in October of 2011?,MF GLOBAL,CURR EVENTS,41,32,30,26,16,28,30,6.8,1.2
52-17-2,52,17,2,"Bobby Fischer became the first American World Champion of Chess in over 80 years after winning what became known as The Match of the Century, in Reykjavik, Iceland, in July and August of 1972. Name the Soviet defending champion that Fischer defeated in this match.",BORIS SPASSKY,GAMES/SPORT,80,61,43,27,17,51,47,6.8,1.5
52-17-3,52,17,3,"German-born Herbert Ernst Frahm escaped to Norway to avoid Nazi persecution in 1933 at age 19, and later gained international prominence as long-time mayor of West Berlin, and then as German Chancellor.  To evade Nazi agents while in Norway, he adopted what pseudonym -- the name by which he was known for the rest of his life?",WILLY BRANDT,WORLD HIST,63,44,22,14,5,27,30,6.8,2.1
52-17-4,52,17,4,The massive thoroughfare junction pictured here is named formally after whom? Click here,CHARLES DE GAULLE,GEOGRAPHY,73,57,55,43,29,52,52,6.8,1.3
52-17-5,52,17,5,What is the title of this famous painting? Click here,HIS MASTER'S VOICE,ART,71,55,44,32,14,46,45,6.8,2.0
52-17-6,52,17,6,"The title character of this long-running television drama series, a graduate of Harvard Law School, had several notable comic peculiarities, including an affinity for driving a Ford Crown Victoria (three models over the course of the series), a fondness for hot dogs, and an allegiance to wearing gray suits in the courtroom (where he was virtually always victorious).",MATLOCK,TELEVISION,61,52,57,51,44,52,54,6.8,1.0
52-18-1,52,18,1,What heavy metal legend replaced Ozzy Osbourne as lead singer of Black Sabbath after Ozzy's departure from the band in April of 1979?,RONNIE JAMES DIO,POP MUSIC,63,51,31,29,22,37,39,3.4,1.6
52-18-2,52,18,2,"Die schöne Müllerin and Winterreise, two song cycles based on the poems of German lyricist Wilhelm Müller, are the works of what Austrian composer of the Romantic era?",FRANZ SCHUBERT,CLASS MUSIC,43,33,24,17,5,23,25,3.4,2.2
52-18-3,52,18,3,The Greek Acropolitan temple known as the Parthenon was completed in 438 BC as a dedication to what mythological deity?,ATHENA,WORLD HIST,90,79,79,56,44,69,70,3.4,1.0
52-18-4,52,18,4,"This island, the world's fourth-largest, is the largest to be (with some tiny peripheral islands) its own independent nation.",MADAGASCAR,GEOGRAPHY,92,77,66,54,49,65,67,3.4,1.3
52-18-5,52,18,5,"A New England prep school, where students confront adolescent jealousy, rivalry, self-identity, death, and the looming presence of WWII, is the setting for what American novel, the author's debut, first published in the U.S. in 1960?",A SEPARATE PEACE,LITERATURE,56,41,46,29,30,34,40,3.4,1.6
52-18-6,52,18,6,This is a screenshot from what film? Click here,GENTLEMEN PREFER BLONDES,FILM,89,71,60,47,34,56,60,3.4,1.2
52-19-1,52,19,1,"The largest collection of paintings and graphic art in the world is held in what European state museum, founded to hold a private imperial collection in 1764 and opened to the the public 88 years later?",HERMITAGE,ART,65,44,25,15,9,33,32,4.1,1.5
52-19-2,52,19,2,"Over twenty brands owned by this consumer products company have over one billion dollars in annual net sales, including Bounty, Duracell, Gillette, Max Factor, and Pampers.",PROCTER & GAMBLE,BUS/ECON,84,78,69,62,62,73,72,4.1,0.9
52-19-3,52,19,3,"Name the sea captain who was blamed -- perhaps unfairly -- for the major oil spill that resulted from the tanker Exxon Valdez's collision with a reef in Alaska's Prince William Sound, in March of 1989.",JOSEPH HAZELWOOD,AMER HIST,53,37,19,12,5,23,26,4.1,1.9
52-19-4,52,19,4,"Since 1970, the NBC television network's flagship news program has been NBC Nightly News; from 1956 until 1970, it was named after what two newsmen, who served as its co-hosts?","CHET HUNTLEY, DAVID BRINKLEY",TELEVISION,61,43,28,18,4,32,31,4.1,1.7
52-19-5,52,19,5,"First Impressions was the original title of what 1813 novel, which was first published in the U.S. in 1832 as Elizabeth Bennet or _______ (current title redacted)?",PRIDE AND PREJUDICE,LITERATURE,85,68,63,43,40,61,60,4.1,1.3
52-19-6,52,19,6,"The 14th c. English nobleman and hero Sir Henry Percy, nicknamed Harry Hotspur, died leading troops in the Battle of Shrewsbury during the Hundred Years' War. Much later, he inspired the name of a Premier League soccer team that represents and plays in what area of London?",TOTTENHAM,GAMES/SPORT,58,68,44,38,34,46,49,4.1,1.8
