index,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,Champ_correct,tot_correct,defense,forfeit,mcw,mcw_pct,date
30-2-6,30,2,6,Name the compound which is the active pharmacological ingredient of the over-the-counter pain medication Advil.,IBUPROFEN,SCIENCE,72,84,76,,,69,,77,0.7,,,,11-Jul-06
30-3-1,30,3,1,"Singles from this Nashville singer's hit 2004 album When the Sun Goes Down include the title track, ""The Woman With You,"" and ""I Go Back.""",KENNY CHESNEY,POP MUSIC,31,26,13,,,19,,22,1.5,,,,12-Jul-06
30-3-2,30,3,2,"Although the war neither started nor ended there, more military engagements occurred in this state than any other during the American Revolutionary War, including two major battles in its capital.",NEW JERSEY,AMER HIST,35,24,9,,,31,,23,1.4,,,,12-Jul-06
30-3-3,30,3,3,"Dogmas is commonly seen as the plural of dogma, but more accurately, what word is its plural?",DOGMATA,LANGUAGE,35,24,16,,,44,,27,1.5,,,,12-Jul-06
30-3-4,30,3,4,Name the John Ford Western film from 1939 which made a star out of John Wayne.,STAGECOACH,FILM,69,29,16,,,19,,33,1.2,,,,12-Jul-06
30-3-5,30,3,5,"Awarded annually by the American Library Association, this medal honors the artist of the most distinguished American picture book for children published in that year.",CALDECOTT MEDAL,LITERATURE,50,47,34,,,56,,45,1.8,,,,12-Jul-06
30-3-6,30,3,6,Lightning is caused by a chemical process in which oxygen is combined with what other element (in molecular form)?,NITROGEN,SCIENCE,42,35,38,,,50,,40,1.5,,,,12-Jul-06
30-4-1,30,4,1,The Spanish word ferrocarril is most commonly translated into English as what?,RAILROAD,LANGUAGE,42,18,16,,,31,,25,1.7,,,,13-Jul-06
30-4-2,30,4,2,"What was outlawed by the Volstead Act, passes by the U.S. Congress in 1918?",ALCOHOL,AMER HIST,92,82,69,,,56,,76,1.1,,,,13-Jul-06
30-4-3,30,4,3,"Name the American comedian who had a mock ""feud"" with fellow comedian Jack Benny, which started in 1937 and continued for years on each's radio shows.",FRED ALLEN,LIFESTYLE,38,3,0,,,13,,11,1.9,,,,13-Jul-06
30-4-4,30,4,4,"The 2004 documentary film Some Kind of Monster documents the making of an album, and primarily a large amount of introspection, by what musical group?",METALLICA,FILM,58,64,41,,,44,,52,0.9,,,,13-Jul-06
30-4-5,30,4,5,Who is the only American man since 1924 to win the gold medal in the marathon at the Summer Olympic Games.,FRANK SHORTER,GAMES/SPORT,25,15,3,,,13,,13,1.9,,,,13-Jul-06
30-4-6,30,4,6,"Who plays Carrie Heffernan, Doug's wife, in the CBS sitcom ""The King of Queens""?",LEAH REMINI,TELEVISION,42,55,28,,,50,,43,1.5,,,,13-Jul-06
30-5-1,30,5,1,"In an effort by the Indian state of Tamil Nadu to promote Tamil language and culture, this south Indian city was renamed Chennai in 1996.",MADRAS,GEOGRAPHY,40,37,17,,,36,,32,1.7,,,,14-Jul-06
30-5-2,30,5,2,"Doctor's Associates, Inc., is the corporate name of what multinational restaurant franchise?",SUBWAY,BUS/ECON,28,43,20,,,50,,34,1.6,,,,14-Jul-06
30-5-3,30,5,3,"When it was erected in 1923, the famous ""Hollywood"" sign in Hollywood, California, originally included what four letters, which were removed from the end in 1949 (due to deterioration).",LAND,LIFESTYLE,72,63,33,,,57,,56,0.9,,,,14-Jul-06
30-5-4,30,5,4,"The television series Candid Camera premiered in 1948 after a long run on radio, where the show went by what name?",CANDID MICROPHONE,TELEVISION,40,23,13,,,29,,25,1.9,,,,14-Jul-06
30-5-5,30,5,5,"""Code Adam"" is a program, first developed by Wal-Mart and adopted by other department stores, malls, supermarkets, etc. (and required in federal office buildings per 2003 Congressional legislation), which outlines specific procedures to be followred by store personnel when a child is reported missing. What is the (full) name of the boy after whom the program is named?",ADAM WALSH,AMER HIST,40,49,27,,,50,,40,1.8,,,,14-Jul-06
30-5-6,30,5,6,"This American novelist won the 1921 Pulitzer Prize for what would become her best-known work, 1920's The Age of Innocence.",EDITH WHARTON,LITERATURE,76,51,20,,,36,,46,1.2,,,,14-Jul-06
30-6-1,30,6,1,"Truman State University, William Jewell College, and Webster University are all located in what state?",MISSOURI,GEOGRAPHY,84,58,37,,,62,,58,1.4,,,,17-Jul-06
30-6-2,30,6,2,"Name the man who, it can be safely said, is the most famous HIV-positive, gay, conservative, practicing Roman Catholic blogger and journalist working today.",ANDREW SULLIVAN,LITERATURE,48,39,10,,,23,,31,1.5,,,,17-Jul-06
30-6-3,30,6,3,"""My fellow Americans, I'm pleased to tell you today that I've signed legislation that will outlaw Russia forever. We begin bombing in five minutes"". These remarks were made on the radio by what man, accidentally broadcast and heard by the public?",RONALD REAGAN,AMER HIST,92,76,50,,,54,,69,0.8,,,,17-Jul-06
30-6-4,30,6,4,"Militant Islamic terrorist organization Jemaah Islamiyah leader Riduan Isamuddin, arrested in Bangkok, Thailand, in 2003, and imprisoned in a secret location in U.S. custody, is better known by what nom de guerre?",HAMBALI,CURR EVENTS,16,6,0,,,0,,6,1.7,,,,17-Jul-06
30-6-5,30,6,5,Who was the coach of the gold medal-winning U.S. hockey team at the 1980 Winter Olympics in Lake Placid?,HERB BROOKS,GAMES/SPORT,36,39,30,,,31,,35,1.6,,,,17-Jul-06
30-6-6,30,6,6,A luthier is a person who builds or repairs what?,STRINGED INSTRUMENTS,LANGUAGE,68,36,37,,,46,,46,1.9,,,,17-Jul-06
30-7-1,30,7,1,"Theologian and church reformer Martin Luther defended his beliefs at, most famously, this 1521 religious convention convened by Emperor Charles V.",DIET OF WORMS,WORLD HIST,65,47,10,,,38,,40,1.8,,,,21-Jul-06
30-7-2,30,7,2,Paramaribo is the capital and largest city of what Western Hemisphere nation?,SURINAME,GEOGRAPHY,54,32,10,,,19,,30,1.7,,,,21-Jul-06
30-7-3,30,7,3,"Name the rock band which had hit songs in the early 1980s with ""Goodbye to You"" and ""The Warrior"".",SCANDAL,POP MUSIC,42,50,17,,,25,,35,1.1,,,,21-Jul-06
30-7-4,30,7,4,"This dish consists of beef prepared by means of rolling or pounding, coating with flour, and then braising in a cooking pot. Its name comes not from any country, but instead from a process which refers to fabric or other materials being pounded or run through rollers in order to soften it.",SWISS STEAK,FOOD/DRINK,19,21,3,,,0,,12,1.3,,,,21-Jul-06
30-7-5,30,7,5,"Identify the Eugene O'Neill play, his only true comedy, which tells the coming-of-age story of 17-year-old Richard Miller, the middle child of the Miller family of Connecticut, and is set around July 4, 1906.","AH, WILDERNESS!",THEATRE,35,12,0,,,0,,12,1.8,,,,21-Jul-06
30-7-6,30,7,6,"Margaret C. ""Meg"" Whitman has, since March 1998, served as President and CEO of what corporation?",EBAY,BUS/ECON,35,59,34,,,25,,41,1.3,,,,21-Jul-06
30-8-1,30,8,1,What is the only university to win two of the last ten NCAA Men's Basketball championships?,UNIV. OF CONNECTICUT,GAMES/SPORT,31,35,35,,,13,,31,1.3,,,,24-Jul-06
30-8-2,30,8,2,Identify the make and model of this automobile.,LINCOLN NAVIGATOR,LIFESTYLE,35,42,35,,,31,,37,1.3,,,,24-Jul-06
30-8-3,30,8,3,"This term from art is used to describe a painting in two parts, which are usually hinged together or otherwise connected in some way, although the pieces may each be a complete work individually. They were very common in the Renaissance era, as altarpieces in churches and cathedrals.",DIPTYCH,ART,77,45,16,,,31,,42,2.2,,,,24-Jul-06
30-8-4,30,8,4,"Name the director of the films Manderlay, Dogville, and Dancer in the Dark.",LARS VON TRIER,FILM,50,39,19,,,38,,36,1.4,,,,24-Jul-06
30-8-5,30,8,5,"What is the name of the site, in present-day Cambodia, of the ruins of a complex of temples (built 9th-15th c. A.D.), which includes what is believed to be the world's largest single religious monument (which itself gives the site its name, and appears on the Cambodian flag)?",ANGKOR,GEOGRAPHY,77,42,26,,,25,,43,2,,,,24-Jul-06
30-8-6,30,8,6,What is the most common name for this device?,METRONOME,CLASS MUSIC,92,84,94,,,88,,89,0.8,,,,24-Jul-06
30-9-1,30,9,1,What area is covered by telephone area code 202?,DISTRICT OF COLUMBIA,GEOGRAPHY,84,73,46,,,53,,65,1.1,,,,25-Jul-06
30-9-2,30,9,2,"From the Italian for ""stubborn,"" this is a musical term for a series of notes repeated over and over incessantly at the same pitch, as in the Pachelbel's Canon in D.",OSTINATO,CLASS MUSIC,32,15,14,,,0,,17,1.8,,,,25-Jul-06
30-9-3,30,9,3,"This is the ""eye"" of what ancient Eghyptian mythological deity?",HORUS (OR RA),LIFESTYLE,76,61,46,,,60,,60,1.6,,,,25-Jul-06
30-9-4,30,9,4,"Once ranked #1 on the greatest television episodes of all time by TV Guide was an episode titled ""Chuckles Bites The Dust,"" which first aired in October of 1975, and featured the death of Chuckles the Clown by elephant-crushing (and much subsequent black humor). ""Chuckles Bites The Dust"" was an episode of what popular television sitcom?",THE MARY TYLER MOORE SHOW,TELEVISION,68,61,25,,,20,,47,1.6,,,,25-Jul-06
30-9-5,30,9,5,Please name this man.,RICHARD BRANSON,BUS/ECON,56,64,50,,,60,,57,1.5,,,,25-Jul-06
30-9-6,30,9,6,"Which U.S. President was assassinated in Buffalo, New York?",WILLIAM MCKINLEY,AMER HIST,80,61,43,,,47,,58,1.4,,,,25-Jul-06
30-10-1,30,10,1,"This term, from mathematics, is defined as a line which a curve approaches as one moves along the curve, with the line and the curve getting closer and closer as the distance approaches infinity. In the graph of the function y=1/x, the x and y axes are this term.",ASYMPTOTE,MATH,54,34,19,,,31,,34,1.8,,,,26-Jul-06
30-10-2,30,10,2,"Identify the American novel which begins (sort of) with the line, ""Listen: Billy Pilgrim has become unstuck in time.""",SLAUGHTERHOUSE-FIVE,LITERATURE,58,57,39,,,56,,52,1.7,,,,26-Jul-06
30-10-3,30,10,3,"The highest point on the eastern coast of North America (Cadillac Mountain) can be found in this national park, the first U.S. national park founded east of the Mississippi River?",ACADIA,GEOGRAPHY,54,34,23,,,25,,34,1.8,,,,26-Jul-06
30-10-4,30,10,4,The axilla is the medical term for what part of the human body?,ARMPIT/UNDERARM,SCIENCE,46,29,3,,,25,,25,1.7,,,,26-Jul-06
30-10-5,30,10,5,Who played Betty Rizzo in the original 1978 film version of the musical Grease?,STOCKARD CHANNING,FILM,69,74,58,,,63,,67,1.1,,,,26-Jul-06
30-10-6,30,10,6,"Until his 1997 death via hanging (or, as some evidence is thought to suggest, autoerotic asphyxiation), Sydneysider Michael Hutchence was the lead singer for what rock group?",INXS,POP MUSIC,85,89,58,,,50,,73,1,,,,26-Jul-06
30-11-1,30,11,1,"Though it's commonly known as the French Open, that tennis tournament's official name comes from the name of what WWI French aviator?",ROLAND GARROS,GAMES/SPORT,50,57,28,,,27,,43,2.1,,,,27-Jul-06
30-11-2,30,11,2,"Montgomery, Howard, Calvert, and Anne Arundel are all counties in what state?",MARYLAND,GEOGRAPHY,58,60,25,,,47,,47,1.8,,,,27-Jul-06
30-11-3,30,11,3,Who is this woman?,GRETA VAN SUSTEREN,TELEVISION,54,80,47,,,33,,57,1.1,,,,27-Jul-06
30-11-4,30,11,4,"According to legend, the vestal virgin and Latin princess Rhea Silvia was the birth mother of what famous twins?",ROMULUS AND REMUS,WORLD HIST,85,80,59,,,60,,72,1.6,,,,27-Jul-06
30-11-5,30,11,5,"This term from oenology describes any of a group of astringent substances found in the seeds, skins, and stems of grapes, as well as in oak barrels, which provide flavor, structure, and texture to red wines (as well as antioxidants).",TANNINS,FOOD/DRINK,69,69,66,,,53,,66,1.4,,,,27-Jul-06
30-11-6,30,11,6,Who is currently the youngest member of the Supreme Court of the United States?,JOHN ROBERTS,CURR EVENTS,69,77,50,,,73,,67,1.1,,,,27-Jul-06
30-12-1,30,12,1,"On January 1, 2001, the management consulting firm Andersen Consulting, having split from its parent Arthur Andersen over ten years prior, adopted what new name?",ACCENTURE,BUS/ECON,38,59,38,,,25,,43,1.4,,,,28-Jul-06
30-12-2,30,12,2,"Identify the ballet, composed by Adolphe Adam and choreographed by Jean Coralli and Jules Perrot, which is the only ballet to survive in its entirety from the Romantic ballet era (early to mid 1800s). The title role is one of the most sought-after in ballet, as it demands from the ballerina technical perfection and outstanding grace and lyricism, as well as acting skill.",GISELLE,CLASS MUSIC,33,24,14,,,13,,21,1.8,,,,28-Jul-06
30-12-3,30,12,3,This is one of the more famous works of what contemporary artist?,DAVID HOCKNEY,ART,50,35,17,,,6,,29,2.1,,,,28-Jul-06
30-12-4,30,12,4,"The classic 1959 jazz album The Shape of Jazz to Come, the debut from this saxophonist, is considered one of the most influential works in the history of jazz, as it laid the foundation for avante-garde and free jazz.",ORNETTE COLEMAN,POP MUSIC,33,24,0,,,13,,17,1.5,,,,28-Jul-06
30-12-5,30,12,5,"This unit of energy, used on in the U.S. and in special circumstances in the U.K., is the equivalent of approximately 1060 joules, the metric unit used everywhere else.",BRITISH THERMAL UNIT (BTU),SCIENCE,42,32,17,,,25,,29,1,,,,28-Jul-06
30-12-6,30,12,6,"Name the Charles Dickens character who utters these words: ""It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to than I have ever known.""",SYDNEY CARTON,LITERATURE,42,9,0,,,19,,16,1.2,,,,28-Jul-06
30-13-1,30,13,1,"Mike and Ike is a brand of chewy candy made by confections maker Just Born, Inc. What is the name of the candy, also made by Just Born, which is essentially Mike and Ike in a spicy cinnamon flavor?",HOT TAMALES,FOOD/DRINK,77,61,67,,,25,,61,1.1,,,,31-Jul-06
30-13-2,30,13,2,"While he has written hit songs for other artists, American songwriter Jim Steinman is most closely associated with the songs of what artist, particularly the artist's bombastic, incredibly successful 1977 solo debut?",MEAT LOAF,POP MUSIC,50,35,13,,,44,,34,1.9,,,,31-Jul-06
30-13-3,30,13,3,"The character played by Chris Noth in the television series ""Sex and the City"" was referred to in the series by what name?",MR. BIG,TELEVISION,88,94,70,,,88,,84,1,,,,31-Jul-06
30-13-4,30,13,4,"John N. Mitchell served in what position in the administration of President Richard M. Nixon from 1969 until 1972, at which time he resigned to take the position as campaign director for the Committee to Re-elect the President (CREEP), which orchestrated the Watergate break-in (crimes for which Mitchell would ultimately be convicted and imprisoned)?",ATTORNEY GENERAL,AMER HIST,65,39,17,,,25,,37,1.9,,,,31-Jul-06
30-13-5,30,13,5,The 2002 Winter Olympic Games in Salt Lake City were the second Winter games to take place in the Mountain time zone. In what city were the first?,CALGARY,GAMES/SPORT,81,68,40,,,31,,57,1.6,,,,31-Jul-06
30-13-6,30,13,6,Name the Belgian detective who investigated the crime in the 1934 novel (and subsequent films) Murder on the Orient Express (and who reveals that the guilty party is all twelve suspects -- they all did it. End spoiler alert).,HERCULE POIROT,LITERATURE,96,74,57,,,44,,70,1.5,,,,31-Jul-06
30-14-1,30,14,1,"Literally meaning ""round object"" or ""round coin"", this is the basic unit of currency in China.",YUAN,BUS/ECON,88,69,35,,,44,,60,1.6,,,,1-Aug-06
30-14-2,30,14,2,"Smee, Tootles, and the dog Nana are all characters from what novel and Walt Disney film?",PETER PAN,FILM,69,63,48,,,63,,60,1,,,,1-Aug-06
30-14-3,30,14,3,"Name the epic poem by Henry Wadsworth Longfellow, written in the same meter as the Finnish folk-epic, The Kalevala, which contains the linesBy the shores of Gitche Gumee,By the shining Big-Sea-Water,Stood the wigwam of Nokomis,Daughter of the Moon, Nokomis.",THE SONG OF HIAWATHA,LITERATURE,92,63,39,,,31,,58,1.9,,,,1-Aug-06
30-14-4,30,14,4,Hemaphobia is defined as the fear of what?,BLOOD,LANGUAGE,96,100,97,,,94,,97,0.9,,,,1-Aug-06
30-14-5,30,14,5,DPT is a mixture of three vaccines to immunize against three different diseases. Please name two of the three.,"DIPHTHERIA, PERTUSSIS (WHOOPING COUGH), TETANUS",SCIENCE,58,66,35,,,44,,52,1.6,,,,1-Aug-06
30-14-6,30,14,6,What was the most significant historical event which occurred in the year 1588 A.D.?,ENGLISH DEFEAT OF THE SPANISH ARMADA,WORLD HIST,54,34,10,,,13,,29,2,,,,1-Aug-06
30-15-1,30,15,1,Name the Pennsylvania city which is the home of Rolling Rock brewery.,LATROBE,FOOD/DRINK,64,72,50,,,47,,60,1.5,,,,2-Aug-06
30-15-2,30,15,2,"Hair, a set of combs, a watch, and Christmas all feature prominently in what O. Henry story?",THE GIFT OF THE MAGI,LITERATURE,80,78,59,,,60,,70,1.5,,,,2-Aug-06
30-15-3,30,15,3,"The alternative rock ""supergroup"" Audioslave is composed of the former lead singer of Soundgarden, and the former instrumentalists (guitar, bass guitar, drums) of what other band?",RAGE AGAINST THE MACHINE,POP MUSIC,36,39,25,,,13,,31,1.7,,,,2-Aug-06
30-15-4,30,15,4,John Howard is currently serving as Prime Minister of what country?,AUSTRALIA,CURR EVENTS,80,69,50,,,53,,64,1,,,,2-Aug-06
30-15-5,30,15,5,"This feast on the Christian liturgical calendar, symbolically related to the Jewish festival of Shavuot, commemorates the descent of the Holy Spirit upon the Apostles, fifty days after Christ's resurrection (Easter).",PENTECOST,LIFESTYLE,72,44,28,,,33,,44,1.9,,,,2-Aug-06
30-15-6,30,15,6,Identify this woman.,AUDREY TAUTOU,FILM,72,53,50,,,67,,58,1.3,,,,2-Aug-06
30-16-1,30,16,1,In what city was this photograph taken?,LONDON,GEOGRAPHY,56,63,40,,,44,,52,1.3,,,,3-Aug-06
30-16-2,30,16,2,"Which is the only planet in our solar system in which a year (one orbit around the sun) is shorter than a day (one rotation around its axis), 225 days vs. 243 days (earth days).",VENUS,SCIENCE,64,37,30,,,19,,39,1.1,,,,3-Aug-06
30-16-3,30,16,3,What was the infamous favorite beverage of Laverne De Fazio on the television sitcom Laverne & Shirley?,MILK AND PEPSI,TELEVISION,36,43,13,,,25,,30,1.5,,,,3-Aug-06
30-16-4,30,16,4,"It is generally regarded that the four major plays of Russian playwright Anton Chekhov are Three Sisters, The Cherry Orchard, Uncle Vanya, and this play?",THE SEAGULL,THEATRE,52,26,3,,,19,,25,2,,,,3-Aug-06
30-16-5,30,16,5,"Name the television personality and MTV host who is currently dating pop singer and Jessica Simpson ex Nick Lachey, and has also been linked to baseball star Derek Jeter off and on since late 2003.",VANESSA MINNILLO,LIFESTYLE,16,49,17,,,25,,28,1.3,,,,3-Aug-06
30-16-6,30,16,6,"At the beginning of the 20th century, all of the continent of Africa was claimed by European powers, except for two countries which still exist today. Name either of the two.","ETHIOPIA, LIBERIA",WORLD HIST,56,46,10,,,38,,37,1.8,,,,3-Aug-06
30-17-1,30,17,1,"Of the ten daytime soap operas currently airing on major American network television, three are on the ABC network. Name any two of the three.","ALL MY CHILDREN, GENERAL HOSPITAL, ONE LIFE TO LIVE",TELEVISION,44,49,37,,,31,,42,1.7,,,,4-Aug-06
30-17-2,30,17,2,"This first name is shared by the former lead singer of the Talking Heads musical group, a baseball star with the nickname 'Big Papi"", and a brand of sunflower seeds.",DAVID,LIFESTYLE,92,91,77,,,69,,84,0.6,,,,4-Aug-06
30-17-3,30,17,3,Vinson Massif is the highest mountain on what continent?,ANTARCTICA,GEOGRAPHY,80,51,50,,,38,,56,1.3,,,,4-Aug-06
30-17-4,30,17,4,One of the most commonly used key signatures in music is C major. What is its relative minor?,A MINOR,CLASS MUSIC,52,37,43,,,13,,39,1.6,,,,4-Aug-06
30-17-5,30,17,5,Who painted this?,EUGENE DELACROIX,ART,52,17,3,,,13,,21,2.2,,,,4-Aug-06
30-17-6,30,17,6,"The principle from fluid dynamics, which states that a body immersed in a fluid is buoyed up by a force equal to the weight of the fluid displaced, is named after what man?",ARCHIMEDES,SCIENCE,60,29,37,,,44,,41,1.6,,,,4-Aug-06
30-18-1,30,18,1,"The Republic of Biafra was the name of a short-lived secessionist state which existed for a few years in the late 1960s, before capitulating and being re-incorporated into what country in early 1970?",NIGERIA,WORLD HIST,61,40,17,,,6,,33,2,,,,7-Aug-06
30-18-2,30,18,2,"Fill in the blank: The four nitrogenous bases found in DNA are adenine, cytosine, thymine, and ________.",GUANINE,SCIENCE,48,49,37,,,63,,47,1.8,,,,7-Aug-06
30-18-3,30,18,3,"This 1955 film, which won the Academy Award for Best Picture, starred Ernest Borgnine in the title role as a lonely Bronx butcher insecure and unlucky in love.",MARTY,FILM,70,43,27,,,50,,45,1.3,,,,7-Aug-06
30-18-4,30,18,4,"This position, which is considered the head of the Church of England, and nominal head of the worldwide Anglican Communion, is currently held by a man named Rowan Williams.",ARCHBISHOP OF CANTERBURY,LIFESTYLE,70,80,50,,,69,,67,1.2,,,,7-Aug-06
30-18-5,30,18,5,"Sitting Bull, he of Little Bighorn fame, was a member of what American Indian tribe?",SIOUX (LAKOTA),AMER HIST,87,74,57,,,75,,72,1.4,,,,7-Aug-06
30-18-6,30,18,6,The athletic teams of the University of Cincinnati compete at the Division I level as a member of what conference?,BIG EAST,GAMES/SPORT,30,43,20,,,19,,30,1.4,,,,7-Aug-06
30-19-1,30,19,1,Who painted this?,PIET MONDRIAN,ART,68,47,23,,,38,,43,2.3,,,,8-Aug-06
30-19-2,30,19,2,"Give the name for the headgear, an example of which is pictured here, which is named after the location of a major battle in the Crimean War.",BALACLAVA,LANGUAGE,60,38,35,,,38,,42,1.8,,,,8-Aug-06
30-19-3,30,19,3,"Identify the Billy Joel song which begins with the line ""Come out Virginia, don't let me wait""",ONLY THE GOOD DIE YOUNG,POP MUSIC,68,88,71,,,75,,76,1,,,,8-Aug-06
30-19-4,30,19,4,An organization that has been in the news a great deal recently is the IDF. What do the letters in IDF stand for?,ISRAEL DEFENSE FORCES,CURR EVENTS,72,71,58,,,56,,65,0.9,,,,8-Aug-06
30-19-5,30,19,5,"This group of islands, which were first discovered by James Cook in 1778, were given the name Sandwich Islands by Cook in honor of one of his sponsors, the Earl of Sandwich, but have since the late 1800s been commonly known by what name?",HAWAII,GEOGRAPHY,60,62,29,,,44,,49,1.4,,,,8-Aug-06
30-19-6,30,19,6,The acceleration of gravity at the surface of the earth is how many feet per second per second (ft/s2; rounded to the nearest foot)?,32,SCIENCE,48,35,29,,,44,,38,1.7,,,,8-Aug-06
31-1-1,31,1,1,What is the name of the U.S. Congressman in this photograph?,RAHM EMANUEL,CURR EVENTS,52,32,15,,,0,,31,1.4,,,,15-Nov-06
31-1-2,31,1,2,"""I must, I must, I must increase my bust!"" is a famous line from what Judy Blume novel?","ARE YOU THERE GOD? IT'S ME, MARGARET",LITERATURE,64,64,51,,,0,,59,1.6,,,,15-Nov-06
31-1-3,31,1,3,"Name the singer who created a stir at the recently-held Country Music Awards, when she gestured demonstrably at the camera when Carrie Underwood, and not she, was named Best Female Vocalist. She later claimed the gesture to be a joke, and not to disrespect the former American Idol winner.",FAITH HILL,POP MUSIC,64,64,59,,,0,,62,1,,,,15-Nov-06
31-1-4,31,1,4,"Nosocomial pneumonia, or any nosocomial infection, is defined as one which has been acquired in what setting?",HOSPITAL,SCIENCE,76,62,36,,,0,,56,1.9,,,,15-Nov-06
31-1-5,31,1,5,"In February of 1995, this bank, the United Kingdom's oldest investment banking firm, collapsed after a securities broker named Nick Leeson loses $1.4 billion by speculating on the Singapore International Monetary Exchange using futures contracts.",BARINGS BANK,BUS/ECON,32,19,13,,,0,,20,2,,,,15-Nov-06
31-1-6,31,1,6,Identify the comic who hosts the NBC prime-time game show 1 vs. 100.,BOB SAGET,TELEVISION,68,53,41,,,0,,52,1.1,,,,15-Nov-06
31-2-1,31,2,1,"The Presidential Commission which took effect on December 1, 1986, to investigate the Iran-Contra Affair, became known by what name, after the former Texas Senator who served as its chair?",TOWER COMMISSION,AMER HIST,50,46,5,,,0,,32,1.9,,,,16-Nov-06
31-2-2,31,2,2,What is the actual name of the character referred to in the title of the novel and film trilogy The Lord of the Rings (i.e. who is the lord of the rings?)?,SAURON,LITERATURE,71,52,54,,,0,,57,0.8,,,,16-Nov-06
31-2-3,31,2,3,Which two cast members of the X-Men series of films have won Tony awards?,"HUGH JACKMAN, IAN MCKELLEN",THEATRE,42,31,15,,,0,,28,1.7,,,,16-Nov-06
31-2-4,31,2,4,"Name either of the two countries which will join the European Union on January 1, 2007.","BULGARIA, ROMANIA",GEOGRAPHY,58,38,18,,,0,,35,1.4,,,,16-Nov-06
31-2-5,31,2,5,"On Seinfeld, at one point Elaine is dating a person who has the same name as what serial killer?",JOEL RIFKIN,TELEVISION,29,31,5,,,0,,22,1.5,,,,16-Nov-06
31-2-6,31,2,6,Name this handsome man.,TOM BRADY,GAMES/SPORT,21,29,33,,,0,,29,1.7,,,,16-Nov-06
31-3-1,31,3,1,The Italian soup known as cioppino has what as its primary ingredient?,FISH,FOOD/DRINK,52,40,18,,,0,,35,2,,,,20-Nov-06
31-3-2,31,3,2,"There are two letters between the two letters that make up the postal abbreviation for the state of New York (""e"" and ""w"" between the NY). For Texas (TX), there is one (""e""). For which state are there the greatest number of letters between the two letters which make up its postal abbreviation?",PENNSYLVANIA,GEOGRAPHY,72,45,62,,,0,,57,1.1,,,,20-Nov-06
31-3-3,31,3,3,How many actors have portrayed James Bond in the official series of 21 (so far) James Bond films?,SIX,FILM,80,70,56,,,0,,68,1.2,,,,20-Nov-06
31-3-4,31,3,4,What is the nickname of the Women's National Basketball Association (WNBA) franchise based in Houston?,COMETS,GAMES/SPORT,52,38,36,,,0,,41,1.9,,,,20-Nov-06
31-3-5,31,3,5,What is the name of Tom Sawyer's love interest in The Adventures of Tom Sawyer? She gave him a pansy at their first encounter to demonstrate her love.,BECKY THATCHER,LITERATURE,68,64,36,,,0,,55,1.8,,,,20-Nov-06
